"","text","b"
"733","delightful chemistry will bowl crafts heartwarming film makes wholesome family entertainer read full you",1
"734","review bright ageless remedy mystery called life average rating full review",1
"735","movie review hindi amitabh bachchan rishi",0
"736","reposting have seen avengers infinity war need best marvel film date bring next year give bandy seals approval you",1
"737","led how good is sushi girl one has impressive cast",1
"738","make laugh funny moments bring lump throat dramatic scenes",1
"739","group jelly fish is called smack imagine sleuth group bears uncovered illegal ring murder group crows investigation disney call i have got screen play",-1
"740","review sunset boulevard starring holden gloria swanson",1
"741","avengers groot exists found cusco amazing theme park",1
"742","excellent cinematic experience featuring best villains franchise has ever had great character work spectacular action you",1
"743","excellent cinematic experience featuring best villains franchise has ever had great character work spectacular action you",1
"744","movie review not out long time more get f",0
"745","omar is deadly concoction masterpiece review",1
"746","game night is up youtube channel check",0
"747","stands award winning perfomances movie has good performances dialogues emotional second ve screenplay music entire film rating amit chintu sir better give miss",1
"748","film is breezy watch read",0
"749","is complete family entertainer strong emotions trump card carries important message today times rating stars",1
"750","are emotional then end liking film movie has flaws has beautiful moments nothing have not seen trailers was expecting lot overall let",1
"751","is outstanding again nails character coming film",1
"752","delivers heartfelt tale make laugh cry bowl over team take bow",1
"753","group claims fight also respecting individual is lying",-1
"754","is starrer film time money find",1
"755","review wedding party nollycritics want find went wrong blockbuster movie kindly follow link bellow",1
"756","is light hearted happy making film senior generations rating out",1
"757","quick read you boyfriend",1
"758","nollycritics review ay days atlanta follow link enjoy",1
"759","you short",0
"760","you short caf flore",0
"761","movie review starring movie expert",1
"762","joy watching fantastic actors working tandem performance oriented film here review",1
"763","come theatre loving bit more review",1
"764","here are initial thoughts was overall cool movie",1
"765","do has relevance now days",0
"766","is outstanding again nails character coming film review",1
"767","new parody movie coming avengers here plot stars sean michaels incredible master yoga do not know pays movies end",1
"768","public review omerta rajkummarrao mehtahansal swissentertain karmamediaent watch video you",0
"769","public review watch video you",0
"770","annihilation is up youtube channel check",-1
"771","is interview director sinbad collins writer steven michael trashploitation flick fags fast lane moviecritic",1
"772","overboard review be most pointless remake last years moviecritic",-1
"773","best film ve seen very long time you you f you amazing action sequences soundtrack is phenomenal you ac",1
"774","was exquisitely executed thriller see lead origins movie",1
"775","gateway is intriguing sci fuck little emotional depth review janks",1
"776","amitabh bachchan rishi kapoor film is breezy watch read",0
"777","review draw dark disturbing film rating b b b click here read full review",-1
"778","avengers infinity war aftermath not spoiler phobic",1
"779","rc bryan watch review avengers infinity war",1
"780","get praise realistically portraying breast pumps forced hospital urination deserves adulation making query realistic motherhood actually looks",1
"781","check latest",0
"782","positives performances dialogues half emotional angle negatives screenplay music dull moments especially st half rating b b b time watch",-1
"783","connect emotional angle film then like one certainly did thus ignore flaws narrative ji rishi ji are life line here rating you",-1
"784","anytime family let get",0
"785","film is breezy watch read",0
"786","red sparrow is up youtube channel check",0
"787","b b b b is treat watch together check you",0
"788","origins flaky intriguing drama marries things unique india deep rooted belief rebirth biometric based aadhaar programme craft engaging narrative",1
"789","finally watched good good was best was interesting only letdown was end defied logic",1
"790","cold brutal repulsively compelling review rating",-1
"791","how is movie",0
"792","review death stalin",-1
"793","very simple film philosophical overtones marks filmmaker prakash kunte comeback important director more here",1
"794","happy star wars day th be",1
"795","review new drama black cop samuel goldwyn films moviecritic",1
"796","second movie review you f d boyfriend feel pretty ve ever seen ve seen movie shoutout doing does representing you be",1
"797","read critic take week here",-1
"798","check new review tully",1
"799","respect men more love story maturity well performed characters whenever are well depicted necessary questions pushed genre farther today prime time success link full b fef b fef b fef",1
"800","is sweet harmless essentially rather boring review",1
"801","death wish is up youtube channel check",1
"802","quick score become classic especially topic is actually critical also industry forms part happy ever ending",1
"803","i reply reply reply rewatching is right so many ways casting first foremost action is so quick yet visible beautiful scenes characters are so understated yet understandable purposeful lack dialogue",1
"804","overboard movie review chris jones",0
"805","rbg movie review los angeles times",0
"806","year old check talk forgot",1
"807","was avengers war worth wait find today review",0
"808","movie review show is worth is now website be sure head",1
"809","multiple personality review wes stop motion film set japan isle dogs follows boy odyssey search lost dog",-1
"810","hunt see",0
"811","peak queen bey",0
"812","wrinkle time is up youtube channel check",-1
"813","netflix love adam sandler movies is week review is",1
"814","guys review amitabh bachchan rishi kapoor sparkling drama you f see f you",1
"815","latest",0
"816","parents need know avengers infinity war",1
"817","tully movie review fox knpn",0
"818","tully movie review los angeles times",0
"819","rampage movie review horror show",-1
"820","review marvel generic take thor",1
"821","go see be prepared have heartstrings pulled theaters tomorrow",1
"822","latest",0
"823","just finished movie did not hear stumbled tonight very good",-1
"824","check review jennifer lawrence latest film red sparrow",0
"825","game night fantastic ensemble cast pitch perfect cameos outlandish hijinks game night succeeds being fun film hits majority laughs moviecritic",1
"826","rbg is comprehensive entertaining look legal legacy created remarkable intelligent witty ruth bader ginsburg",1
"827","spoiler free review infinity war is now up check like see then feel free like subscribe",1
"828","spoiler free review infinity war is now up check like see then feel free like subscribe",1
"829","dark unsettling more detail read mini review",-1
"830","gringo is up youtube channel check",0
"831","is finally uploaded is",1
"832","be sure check movie review show hilarious spoiler alert",1
"833","have seen want know thoughts watch movie review show is worth channel",1
"834","favourite thing infinity war is makes canon thor is most beautiful avenger also here review",1
"835","embattled review avengers war spoilers moviecritic",-1
"836","new looks version beloved hero you ac e",1
"837","will be having critical do not worry be only mind bending",1
"838","new web log now",1
"839","rightfully self confident avengers war lives hype",1
"840","gehenna where death lives is tomorrow check discussion watch",-1
"841","is latest read reporter review",0
"842","walking movie perseverance is bear somewhere distance opinion here",1
"843","did agree avengers war end moviecritic",0
"844","check infinity war review heavy spoilers haven watched get life together go now",1
"845","dust has settled comes night get quiet place",-1
"846","tomb raider is youtube channel check",0
"847","horror fans are looking handful new contributors review horror movies write genre deathmatch details fef",-1
"848","ac d yess officially need know man drooling job is get audience care obsessions martin scorsese",1
"849","amazing movie promoting preachy attempt",1
"850","maggots movie review geek legion doom",-1
"851","f e ac eline dion ashes deadpool motion picture soundtrack",-1
"852","pick no great gatsby leonardo dicaprio version how wealth creation puts great great gatsby",1
"853","updates just posted is application netflix repairs are done access application here",0
"854","is avengers infinity war marvelous watch wright movies review find",1
"855","draw dark disturbing film sinks teeth cold cruel character is difficult fathom b b b full link",-1
"856","avengers war movie review",-1
"857","space one hear roll eyes read web log see agree",1
"858","review real life hero doggo flick sgt stubby american hero",1
"859","wanderingstarz wittier",0
"860","days entebbe is up youtube channel check",0
"861","show link is bio",0
"862","need prepare intentionally brutal film check did",-1
"863","amityville horror ba",-1
"864","huge thanks having channel journey series review monsters check review check channel sub",1
"865","tully is welcome return form director jason reitman wonderful showcase charlize mackenzie davis moviecritic",1
"866","snowpiercer twitflix review warning potential spoilers moviecritic",-1
"867","avengers infinity war spoiler review moviecritic",-1
"868","congo lasers apes joe denial normal baker go wrong moviecritic",-1
"869","live review infinity war moviecritic",1
"870","bachchan rishi kapoor sparkling drama you f f see f you review",1
"871","film review psychokinesis superhero movie aren bothered seeing infinity war",-1
"872","get more people watch will hit day view goal",-1
"873","old dark house stars travelers find shelter bizarre family estate ba",-1
"874","have watched movie why do not check compare contrast book",0
"875","battle royale ii requiem stars teenagers are trapped island forced kill survivor deadly political game",-1
"876","put debate rest is better",1
"877","anyone realize how kinky labyrinth starting david bowe is listen show jump bandwagon",-1
"878","overwhelmed mom is rescued perky helper portlandia version mary poppins moviecritic",1
"879","count infinity avengers infinity war review moviecritic",1
"880","ghoulies ii",0
"881","is kyle is pretty sure knows is does listen find link bio",1
"882","unsane is up youtube channel check",0
"883","loved have seen yet is theaters everywhere read spoiler free movie review then grab girlfriend head theater",1
"884","film trailer",0
"885","is here dread run destiny still arrives thanos spoiler free review most hyped movie ever",-1
"886","reviews crowdfunded horror film now streaming",-1
"887","good bad ugly redefined western genre",-1
"888","review invisible man revenge",-1
"889","movie review",0
"890","week watched enjoy clip then check full episode",1
"891","hot press review crossfire",-1
"892","storm century stars stranger manipulates villagers killing other ba",-1
"893","epic does not seem do film justice",-1
"894","week meet movies christian greg noel preview films summer also examine machine ctv",0
"895","idle hands stars teenager hand becomes possessed kills",-1
"896","dark tales japan stars bus passenger insists telling driver frightening stories",-1
"897","dads review podcast avengers infinity war recap review moviecritic",1
"898","amy schumer rocks super hard feel pretty moviecritic",1
"899","let watch movies departed moviecritic",-1
"900","is know more movie review brought frubon",0
"901","episode is not love giant robots fighting giant monsters sea",1
"902","wild honey review unconventional romantic comedy oc movie reviews",1
"903","myra breckinridge mae west age exploded screen was greatest movie star comeback ever has not been topped day",1
"904","nothing better waking cool review movie see next month thank want come",1
"905","movie review",0
"906","feel pretty movie review",1
"907","isle dogs is up youtube channel check",0
"908","red sparrow movie review espionage thriller thrills",1
"909","plays heroin addict is netflix is only minutes so definitely check check are",-1
"910","blogging check latest update",0
"911","avengers war movie review",-1
"912","night living dead reply animation stars mortician reanimates bodies having exposed toxic waste mistake ba",-1
"913","dtalk reel movie news is back find whats happening hollywood week",0
"914","avengers infinity war galactic achievement moviecritic",1
"915","ian chris discuss new horror movie gehenna where death lives watch",-1
"916","review beware slenderman",-1
"917","twilight saga breaking dawn part",-1
"918","charlize plays mom dealing struggles being mother including newborn was time take hit",-1
"919","indiana jones kingdom crystal skull",1
"920","week",0
"921","are fan creepy horror anthologies then are definitely going want check ghost stories full review up now",-1
"922","time official trailer good movie quirky interesting depth",1
"923","limited time offer own ferdinand movie hdr",-1
"924","twosidereview mom dad",0
"925","officially wins award most spoiler free bye bye you did learn however ugly superheroes live cleveland you",1
"926","full",0
"927","pacific rim uprising is up youtube channel check",-1
"928","cold brutal repulsively compelling",-1
"929","cold brutal repulsively compelling",-1
"930","did read full review here",0
"931","brings together years do create magic screen see video review",1
"932","review why movie fails impress",1
"933","work blockbuster avengers infinity war read esteemed member fenil seta insight world new movie releases",1
"934","review ready player movie",1
"935","review lootera starring sonakshi sinha barun chanda ranveer singh",0
"936","film guardians vol have officially grossed more box office you",1
"937","is review upcoming trashploitation film fags fast lane zombie zoo productions moviecritic",1
"938","small foot trailer family movie reaction review",0
"939","new review netflix yakuza crime drama outsider starring jared",-1
"940","chilling testimony immediacy terrorism movie review rating",-1
"941","reviewed check",0
"942","docu style drama based inglorious life terrorist ahmed omar saeed sheikh seemed safe zone director here review",-1
"943","limited time offer own ferdinand movie hdr",-1
"944","check infinity war review heavy spoilers haven watched get life together go now",1
"945","here have review literally only spent minutes writing ghost stories review bye bye",-1
"946","review delightful chemistry will bowl rating b b b click here read full review",1
"947","delightful chemistry will bowl crafts heartwarming film makes wholesome family entertainer b b b stars read full you",1
"948","chilling testimony immediacy terrorism",-1
"949","chilling testimony immediacy terrorism",-1
"950","good night review sir hurt final film oc movie reviews",1
"951","have been few more funny empathetic portraits generational dramas director umesh shukla not out makes film compelling is",1
"952","you short passing summer",0
"953","watched film made called also saw crime drama meaningful movies are treat watch try watching many documentaries possible",-1
"954","personally did not care feel be occasional reviews",-1
"955","new web log post isle dogs movie review read here get",1
"956","angry men films really aren made more film solely based dialogue extremely good performances being based just single room such long takes felt just play good themes discrimination paying attention",1
"957","ce come back ccd come back see ccd come back see ccd come back see come back ccb come back cc cac cc see cbe be fucked ccd come back cac see come back come back see come back come back cbe see come back see cac see ce come back come back come back ccd come back be fucked caf cbe come back cae cc see ccd caf audience decide do not miss watch movie today weekend family friends watch money relationship is important",1
"958","disobedience review",-1
"959","quiet place review moviecritic",1
"960","ready player is up youtube channel check",1
"961","heart warming celebration life",1
"962","nice guy secret",1
"963","stacy web log has got going prophecy fulfilled review moviecritic",1
"964","went see last night really enjoyed great touches humour little darker previous films interested see how future pans not being follower graphic novels",1
"965","is time group therapy here spoiler free review",-1
"966","film is heart warming celebration life",1
"967","fails bring thrilling side terrorist ahmed omar saeed sheikh starrer read",-1
"968","michael bay jon woo movies are pretty similar woo are more confident still best questions are doesnt ask is also emblematic relative calmness",1
"969","personal",0
"970","open pod bay doors hal is th anniversary space odyssey latest cinepod moviecast chat stanley kubrick only epic",1
"971","was lovely time have conversation feeling lucky know more acting bollywood favourite actor",1
"972","excellent cinematic experience featuring best villains franchise has ever had great character work spectacular action you",1
"973","excellent cinematic experience featuring best villains franchise has ever had great character work spectacular action you",1
"974","classic week wanda moving portrait quiet desperation alcoholism",-1
"975","quiet place is up youtube channel check",1
"976","enemy actually loved movie perfectly directed flick real experience friend were discussing meaning hour afterwards analysis film is true perfection made love film even more",1
"977","takes journey wish never ve happened review",-1
"978","minutes unalloyed emotional bonding",0
"979","heart warming celebration life",1
"980","heart warming celebration life",1
"981","minutes unalloyed emotional bonding",0
"982","minutes unalloyed emotional bonding",0
"983","read out take starrer here",0
"984","wild things are movie review ratings kids",-1
"985","you short are",0
"986","limited time offer own ferdinand movie hdr",-1
"987","heart warming celebration life review rating",1
"988","open pod bay doors hal is th anniversary space odyssey latest cinepod moviecast chat stanley kubrick only epic",1
"989","yesterday visited set was filmed extra spot danny",1
"990","omerta review manisha word omerta means code silence members crime groups adopt when caught law film shows how omar was happy kill name religion staccato storytelling style cons",-1
"991","review manisha lakhe man is years old full life teaches lesson grouchy year old son bachchan rishi make father son melodrama good watch simply",-1
"992","is time soundcloud",0
"993","belle noiseuse definition bravery",1
"994","spoiler free infinity war review moviecritic",-1
"995","death stalin review moviecritic",-1
"996","review rishi kapoor win match first rate",1
"997","watching lots action",1
"998","has heart right place something gets lost delivery muddled message",1
"999","church state religion education movie tackles tough topics review god not dead light darkness laura bennett",1
"1000","chappaquiddick is up youtube channel check",0
"1001","you are likeable is good are lot moments is standout reviews",1
"1002","kylo ren mumbles hour then loses precious scribble book theres pretty cute dog so",1
"1003","check review",0
"1004","beirut is up youtube channel check",0
"1005","check review new culture shock",1
"1006","extraordinary work everyone involved bravo",1
"1007","tully movie review collidervideos",0
"1008","suicide squad hell pay movie review john campea",-1
"1009","tully movie review moviecritic",0
"1010","avengers infinity war review most rewarding experience ever spoilers moviecritic",1
"1011","short",0
"1012","nightmare elm street skip",-1
"1013","buy online huawei lite blue full view display mp front camera Go back you",0
"1014","ready player movie review",1
"1015","review avengers infinity war know incase haven read other reviews moviecritic",1
"1016","new especially stand b fef b fef b fef b fef you",1
"1017","case missed ragnarok colorful fast paced mcu world thor third adventure",1
"1018","blockers is so good millenial american pie d bye bye d bye bye d bye bye d bye bye d bye bye",1
"1019","years later is still favorite superhero started",1
"1020","rampage is up youtube channel check",-1
"1021","new comic posted have seen movies theater are including reviews",1
"1022","good bad ugly redefined western genre",-1
"1023","days live amazing true story man survived years death row crime did not commit",1
"1024","wait see you",-1
"1025","game man",0
"1026","new episode time picked great comedy lake bell",1
"1027","past weekend was able catch showing favorite godzilla movies king versus godzilla moviecritic",1
"1028","netflix newest original series premieres tomorrow check review rain",0
"1029","want know thoughts latest installment insidious franchise check review",-1
"1030","is better find tomorrow",1
"1031","slightly more considered thoughts",0
"1032","first web log post is",0
"1033","slightly more considered thoughts",0
"1034","reaction",0
"1035","reflected light is just right photo lighting softbox keep touch",1
"1036","movie review kidnap",-1
"1037","borg versus mcenroe is up youtube channel check",-1
"1038","haven seen movies not really get do not explain shit",1
"1039","movies pick founder starring michael film is shade darker more complex many people recognize",-1
"1040","also watched den thieves enjoyed good heist movie decent twist yes bit cliche not sure d watch am glad ve seen ae you d",1
"1041","years marvel cinematic universe been building character movie world carefully constructed culminating avengers infinity war",1
"1042","just watched molly game tonya is engrossing fascinating movie mad story well cast well worth watch jessica chastain is fantastic f",1
"1043","hits ground running beginning is spoiler filled review",-1
"1044","needing kennedy juice chappaquiddick never becomes quite more well acted satisfactorily directed political objection film full",1
"1045","arrows art parenting movie review stoned gremlin productions",0
"1046","chris claremont x men movie review jim gisriel",0
"1047","check other podcast where nerdy guys review movies week review avengers infinity war",1
"1048","plays",0
"1049","have seen yet did think love hear think have written non spoiler review here loved did not",-1
"1050","accomplishes rare cinematic Featuring creating story local government engages audiences",1
"1051","gist new movie grab favorite snacks watch review",1
"1052","super troopers is up youtube channel check",1
"1053","why do do",0
"1054","is recent wednesday color commentary means get watch something old new course how many times do have explain smh",1
"1055","review",0
"1056","avengers infinity war seems have deeper hidden messages surface you thought movie",-1
"1057","check infinity war review heavy spoilers haven watched get life together go now",1
"1058","kayne west slavery was choice kylie jenner stormi photos graham size swimwear",-1
"1059","infinity war is apex studio took chance came out top check old king clancy full review record breaking box office movie",1
"1060","screening new york city independent film festival is review romantic dramedy all wrote starring gary dourdan moviecritic",1
"1061","exciting news podcast is now live",1
"1062","review jaws rip movies late early week look barracuda",-1
"1063","screened atlanta film festival is review stop motion puppetry film yamasong march hollows moviecritic",1
"1064","latest movie review",0
"1065","skyscraper trailer family reaction review",0
"1066","open pod bay doors hal is th anniversary space odyssey latest cinepod moviecast chat stanley kubrick only epic",1
"1067","listen first ep",0
"1068","did",0
"1069","come check ready player",1
"1070","rental roundup fullmetal alchemist justice league",1
"1071","avengers infinity war is youtube channel check",1
"1072","saw new wasp trailer is verdict looks lot fun",1
"1073","was restoring was being actually scares mvn have character limited tonight",-1
"1074","am always surprised more people haven seen is sci fuck classic holds so well watch movie people",1
"1075","shout needles bring upcoming episode check rocking you",1
"1076","review ready player movie",1
"1077","avengers infinity war dominates box office",1
"1078","quiet place has amazing kind plot emily blunt killed entire movie just forces be quiet seems living movie",-1
"1079","makes disturbing watch thanks chilling performance here",1
"1080","infinity war review",1
"1081","infinity war review",1
"1082","avengers war movie review moviecritic",-1
"1083","thanos killmonger why moviecritic",0
"1084","good things boss baby spoilers moviecritic",1
"1085","need say more check boys really loved",1
"1086","is good is bad knows is steeped nostalgia",0
"1087","review andy sidaris",0
"1088","new episode ep deadpool damien riley podcast website",1
"1089","go value cinema are not here wander park films mean treasure is unforgettable film images continue flash eyes long time come rating b b b b",1
"1090","burt gummer back kick ass insult graboids",-1
"1091","you birthday review avengers infinity war letterboxd",1
"1092","love ardently you ad",1
"1093","thoughts",0
"1094","dr jekyll mr hyde stars scientist discovers potion makes people purely evil ba",-1
"1095","primal rage legend movie review geek legion doom",-1
"1096","movie review date night",0
"1097","quiet place review",1
"1098","cabin fever patient stars friends cruising boat stumble research facility brink viral outbreak ba",-1
"1099","avengers review spoiler episode available now",0
"1100","new york",1
"1101","strong movie review good bad mahh moviecritic",1
"1102","watching american tail years is so brave lucky now little shit listen father",1
"1103","ep covers",0
"1104","latest movie review daily",0
"1105","check infinity war review heavy spoilers haven watched get life together go now",1
"1106","marvel crown jewel goes as good say is check did film here",1
"1107","avengers war movie lives super hero hype",1
"1108","new web log post guys check see see",1
"1109","is movie is definitely worth watch",1
"1110","story builds tension suspense reaches very noir crescendo",1
"1111","be cat film anne",0
"1112","wish watch weekend second plan documentary styled film is best watch weekend know story still keeps edge seat",1
"1113","older one still good one cell starring vince vaughn jennifer lopez vincent not be disappointed read review here",1
"1114","review gritty crime ups",-1
"1115","rightfully self confident avengers war lives hype",1
"1116","reviewer gehenna where death lives review know ending starts movie reviews",-1
"1117","does kyle actually know is are excited check full episode link bio",1
"1118","latest movie review riot",-1
"1119","listening review pod couple ready player review",1
"1120","very thorough breakdown avengers infinity war spoilers",1
"1121","aven inf war acting story directing effects editing score special many characters fun subplots complex overall plot perfection best comic based movie ever octopuses",1
"1122","get bunker",0
"1123","have seen yet have here are thoughts let know agree disagree check itunes get podcasts",0
"1124","open pod bay doors hal is th anniversary space odyssey latest cinepod moviecast chat stanley kubrick only epic",1
"1125","stockings are faces",0
"1126","motorcycle girl loved movie watch glad are making such fantastic films kudos director",1
"1127","director bobby miller talks creature feature cleanse scenes creature shots artwork moviecritic",1
"1128","tully reitman cody together again strongest collaborative project yet moviecritic",1
"1129","avengers infinity war spoiler free review moviecritic",-1
"1130","avengers infinity war spoiler review antman wasp trailer reaction video are up link bio",-1
"1131","finds strength feel good story filled nuggets wisdom inspiration key life stages surprising special rendition classic song",1
"1132","seek movie disgustingly beautiful technical marvel i watch anything ramsay creates",1
"1133","gets boring",-1
"1134","review invisible man returns",-1
"1135","scary movie ba",-1
"1136","reply talking latest episode grab drink give listen",0
"1137","wrong turn bloodlines",-1
"1138","success thanks character",1
"1139","time place ageless appeal is time travelling adventure makes so enduring investigates",1
"1140","new over have ever wondered why best friend does weird crunchy face thing movie has answers",1
"1141","wes craven underrated hills have eyes is classic week",-1
"1142","film review feel pretty swaps star charisma preachy message",1
"1143","jim carry killed riddler",-1
"1144","uploaded new episode ep infinity war hero academia gotham",1
"1145","shannon",0
"1146","blockers gets almost pretty funny female empowerment gay angle good stuff",1
"1147","tremors cold day hell review",-1
"1148","gifted featuring chris evans",1
"1149","movie was huge success part awarded ferrell further added credibility movie actor",1
"1150","opening maze scene clues fun games wyke has store tindle",1
"1151","new video week peter rabbit",1
"1152","few days ruminating managed get spoiler free",1
"1153","new video week strong",1
"1154","check top favourite films celebration birthday are f f bye bye",1
"1155","get selena movie",0
"1156","movie review secret marrowbone offers horror suspense stranger things actor",-1
"1157","infinity war is awesome thanos is great villain is such fun ride start finish ending really left flabbergasted loved stark gamora spiderman especially very funny movie laughed so much",1
"1158","avengers infinity war review book tickets here",1
"1159","happy birthday hardest workers hollywood roles have enjoyed seeing",1
"1160","you short as was moving ahead occasionally saw brief glimpses beauty",1
"1161","just finished review not spoil anything anyone just going say is is movies miss enjoy get get get",1
"1162","full psychological thriller",1
"1163","know how sometimes movies are so good just do not want end maze runner scorch trials was pretty much exact opposite",1
"1164","gehenna where death lives review know ending starts movie reviews",-1
"1165","spoiler free actually pulled years planning working was action packed film start finish scene felt unneeded films action was superb jokes landed so well tears were also shed",1
"1166","amazing trailer movie nailed trailer",1
"1167","you assface biopics go say have ever seen",0
"1168","fill life life review",0
"1169","prometheus massively disappointing entry alien series was already shaky script seemed product drunken dyslexic aardvark give too much credit",-1
"1170","go see avengers infinity war video make mind",1
"1171","british animation has excellent visuals adventure perfect children",1
"1172","personally didnt enjoy anything movie",-1
"1173","f f see f you f see f felt movie was felt mystery was there was very compelling i enjoyed thrill ending knew kind was also got bit twist is amazing",1
"1174","f f see f you felt movie was good always does great job just feel character are drying not really funny anymore kind boring seeing yess",1
"1175","review popstar never stop never stopping starring samberg jorma taccone akiva schaffer",-1
"1176","literally ran emotional gambit watching ghost story had nice healthy cry movie has dialogue is runtime beautiful film terrific score",1
"1177","is complete family entertainer strong emotions trump card carries important message today times rating stars",1
"1178","aren watching right now terrifically well done f f e ac",1
"1179","excellent cinematic experience featuring best villains franchise has ever had great character work spectacular action you",1
"1180","excellent cinematic experience featuring best villains franchise has ever had great character work spectacular action you",1
"1181","sky captain world tomorrow",0
"1182","breath review debs",0
"1183","avengers war movie review does stand own",-1
"1184","just got home showing avengers infinity war wow is spoiler free review however be warned basic story line is shared post revealing ending",1
"1185","avengers infinity war superheros fight stop thanos acquiring powerful stones control destroy life very entertaining d birthday d birthday",1
"1186","best films last centuries",1
"1187","thinks is raunchy rowdy completely insane animated blast movie theater check full review",-1
"1188","review doctor detroit",0
"1189","you acnew deep blue sea you you f f f see you super smart sharks super dumb scientists",1
"1190","thanos infinite sadness avengers infinity war review moviecritic",1
"1191","sorry bother movie review chris jones",-1
"1192","is latest avengers movie worth watch read review find",1
"1193","give stars very slow exactly expect happen gay person",1
"1194","highlights phoenix film festival part",1
"1195","thanks so much everyone sent favorite moments infinity war there is still room more comment here deathmatch tomorrow morning is cut time film tomorrow afternoon",1
"1196","phantasm movie review youtube moviecritic",0
"1197","women fall love cloistered london jewish community",1
"1198","did read official site",0
"1199","women fall love cloistered london jewish community passions reignite explore boundaries faith sexuality plugged",1
"1200","now present brand new release otherwise known",1
"1201","stream tonight get headstart movie reviews fall asleep are starting horror classics compilation note rewatch when awake is just bare entertainment viewing check instagram titles",1
"1202","less minute think reviews are point check condensed version",0
"1203","birdman unexpected virtue ignorance",-1
"1204","do not forget check black panther bullet point review",1
"1205","lineup is absolutely incredible siff",1
"1206","playing dolls havoc movie review bloodbath",-1
"1207","newest review link bio",0
"1208","haven seen amazing go watch then watch",1
"1209","just got theatre seeing movie girl needs see s new movie message is so important",1
"1210","netflix new original rain is fantastic engrossing series cool premise check early review",1
"1211","new movie review marvel avengers war movie review ethereal dream",1
"1212","ep is up",0
"1213","ritual logan movies",0
"1214","mimosa thoughts movie review avengers infinity war",1
"1215","hostiles logan movies",0
"1216","review korean movie get",0
"1217","siff press gala tonight",0
"1218","ready scream classic film fans review blue ray release scream fear classic outing",-1
"1219","blue ray dvd tuesday out about video",0
"1220","jude law asks son sherlock thrones",0
"1221","newest episode is posted ready go break please let know how audio quality is have been working get form thank listening",1
"1222","is tuesday new episode tuesday tapie is now",1
"1223","fundamentals caring found movie hilarious chemistry rudd craig characters was so good making best buddy movies ve seen long movie also had real heart warming moments",1
"1224","gun crazy ode john dall",-1
"1225","expected did not dig",0
"1226","liked did not avengersinfinity war movie",0
"1227","latest review movie just released today",0
"1228","been waiting too long wait is check film here",-1
"1229","borg versus mcenroe more anecdotal truth centered actual events film have edge even already know outcome infamous wimbledon match moviecritic",1
"1230","rank marvel movies infinity war do not miss spoilers",1
"1231","cheeky mormon movie review love",1
"1232","spoiler free movie was experience is blend high action comedy movie was rush left theater emotion bad guys movie were brutal movie is original not other movies",-1
"1233","wow secret organizations named thanos was thanos named ae",1
"1234","hits ground running beginning spoiler filled review",-1
"1235","leave breathless confused angry stunned also made laugh occasion mostly laughter nervous kind",-1
"1236","just watched misguided independent drama thriller thanks review coming weekend",-1
"1237","film review isle dogs",0
"1238","aperture hour movie podcast episode director spotlight steven spielberg",1
"1239","just watched ready player movie is properly appeals generation gamers watch still spot something new nostalgic masterpiece go watch ae",1
"1240","had great time filming video brother youtube channel yesterday talked original iron man movie honor year anniversary",1
"1241","is funny film is not quite memorable full",1
"1242","you f anew video alert you f avengers infinity war talking points contains spoilers",-1
"1243","review new dark fantasy creature feature cleanse moviecritic",1
"1244","getting back youtube grind spoiler free review avengers enjoy",1
"1245","thankfully really believes comedy flows naturally",1
"1246","hot press review blue dahlia",-1
"1247","almost time has been dying chat about so join today pm pt see",1
"1248","have seen yet did think love hear think have written non spoiler review here loved did not",-1
"1249","better fell pretty never been kissed s girl thinks thing gains confidence pretending be someone else falls guy veil is lifted believes not good enough male pumps friends guy take",1
"1250","movies are supposed raise more questions answers sure fits bill here review starring natalie portman oscar issac enjoy get get get",1
"1251","years later episode listen",0
"1252","new review you ac",1
"1253","read clouds movie review movie screenplay direction performance dialogues music etc webtafri",1
"1254","new go see be prepared have heartstrings pulled theaters",1
"1255","fitting title piece shit",-1
"1256","haven seen movies not really get do not explain shit",1
"1257","latest movie review daily",0
"1258","movie pick joy starting jennifer lawrence",1
"1259","review tweets look more less appealing started adding movie posters you",1
"1260","avengers infinity war spoiler review moviecritic",-1
"1261","according was event",0
"1262","avengers infinity war movie is related real world happenings find",1
"1263","unwilling movie review geek legion doom",-1
"1264","stacy web log has got going disobedience review moviecritic",-1
"1265","think house is safe make wonder",1
"1266","updates just posted is application repairs are done access application here",0
"1267","avengers war movie review is there hidden message film you",-1
"1268","feel pretty amy schumer family movie review",1
"1269","avengers infinity war review",1
"1270","leads twisted rabbit hole abigail braman nightmarish conj intrigued",-1
"1271","is dvd today review",0
"1272","quiet place hear hunt",1
"1273","is best movie are thoughts",1
"1274","film review shooter",0
"1275","review super fun killer bear flick grizzly",-1
"1276","amy schumer underwhelms long line sappy bland comedies message as tired star",-1
"1277","antena aerial is technically stellar highly atmospheric political cautionary tale wonderfully entertaining movie be visuals alone review",1
"1278","amy schumer underwhelms again long line sappy bland comedies message as tired star has final word",-1
"1279","latest fantom movie news reviews",0
"1280","is so tough tweet spoiling anything has spoiler filled review",-1
"1281","check film starring favourite films time f f bye bye",0
"1282","stop thinking check episode hear review movie link bio",-1
"1283","film review mean machine danny meehan was not bad man deep down kind lost way shame ended football career alcohol consumption",-1
