,x,expansion
1185,evn,even
1186,evr,ever
1187,evry,every
1188,evry1,every one
1189,evrytin,everything
1190,ex-bf,Ex-Boy Friend
1191,ex-gf,Ex-Girl Friend
1192,exp,experience
1193,ey,hey
1194,eyez,eyes
1195,ez,Easy
1196,ezi,easy
1198,f#cking,fucking
1199,f&e,forever and ever
1200,f'n,fucking
1201,f-ing,fucking
1202,f.b.,facebook
1203,f.m.l.,fuck my life
1204,f.u.,fuck you
1205,f/o,fuck off
1206,f00k,fuck.
1207,f2f,face to face
1208,f2m,female to male
1209,f2p,free to play
1210,f2t,Free to talk
1211,f4c3,face
1212,f4eaa,friends forever and always
1213,f4f,female for female
1214,f4m,female for male
1215,f8,fate
1216,f9,fine
1217,[email protected],fat
1218,fa-q,fuck you
1219,faa,forever and always
1220,fab,fabulous
1221,faggit,faggot
1222,fah,Funny as hell
1223,faic,For All I Care
1224,fam,family
1225,fankle,area between foot and ankle
1226,fao,for attention of
1227,fap,masturbate
1228,fapping,masterbating
1229,faq,frequently asked question
1230,farg,fuck
1231,fashizzle,for sure
1232,fav,Favorite
1233,fave,favorite
1234,fawk,fuck
1235,fbimcl,Fall Back In My Chair Laughing
1236,fbk,facebook
1237,fbtw,Fine Be That Way
1238,fc,fruit cake
1239,fcbk,facebook
1240,fcfs,first come first served
1241,fck,fuck
1242,fckd,fucked
1243,fckin,fucking
1244,fcking,fucking
1245,fckm3hdbayb,fuck Me Hard Baby
1246,fcku,fuck you
1247,fcol,for crying out loud
1248,fcuk,fuck
1249,fe,fatal error
1250,feat,Featuring
1251,feck,fuck
1252,fer,for
1253,ferr,For
1254,ff,friendly fire
1255,ffa,free for all
1256,ffcl,falling from chair laughing
1257,ffr,for future reference
1258,ffs,for fuck's sake
1259,fft,food for thought
1260,ffxi,Final Fantasy 11
1261,fg,fucking gay
1262,fgi,fucking google it
1263,fgs,for God's sake
1264,fgssu,For Gods sake shut up
1265,fgt,faggot
1266,fi,fuck it
1267,fi9,fine
1268,fibijar,fuck it buddy I'm just a reserve
1269,fifo,first in first out
1270,fify,Fixed It For You
1271,figjam,fuck I'm good just ask me
1272,figmo,Fuck it - got my orders
1273,fiic,fucked If I Care
1274,fiik,fucked If I Know
1275,fimh,forever in my heart
1276,fio,figure it out
1277,fitb,fill in the blank
1278,fiv,five
1279,fk,fuck
1280,fka,formerly known as
1281,fkd,fucked
1282,fker,fucker
1283,fkin,fucking
1284,fking,fucking
1285,fkn,fucking
1286,fku,fuck you
1287,flamer,angry poster
1288,flames,angry comments
1289,flicks,pictures
1290,floabt,for lack of a better term
1291,fm,fuck me
1292,fmah,fuck my ass hole
1293,fmao,freezing my ass of
1294,fmb,fuck me bitch
1295,fmbb,fuck Me Baby
1296,fmbo,fuck my brains out
1297,fmfl,fuck my fucking life
1298,fmflth,fuck My fucking Life To Hell
1299,fmh,fuck me hard
1300,fmhb,fuck me hard bitch
1301,fmi,for my information
1302,fmir,family member in room
1303,fmita,fuck me in the ass
1304,fml,fuck my life
1305,fmltwia,fuck me like the whore I am
1306,fmn,fuck me now
1307,fmnb,fuck me now bitch
1308,fmnkml,fuck me now kiss me later
1309,fmph,fuck my pussy hard
1310,fmq,fuck me quick
1311,fmr,fuck me runnig
1312,fmsh,fuck me so hard
1313,fmth,fuck me to hell
1314,fmuta,fuck me up the ass
1315,fmutp,fuck me up the pussy
1316,fn,first name
1317,fnar,For No Apparent Reason
1318,fnci,fancy
1319,fnny,funny
1320,fnpr,for no particular reason
1321,fny,funny
1322,fo,fuck off
1323,fo shizzle,for sure
1324,fo sho,for sure
1325,foa,fuck off asshole
1326,foad,fuck off and die
1327,foaf,friend of a friend
1328,foah,fuck off asshole
1329,fob,fresh off the boat
1330,focl,Falling Off Chair Laughing.
1331,fofl,fall on the floor laughing
1332,foia,freedom of information act
1333,fol,farting out loud
1334,folo,Follow
1335,fomofo,fuck off mother fucker
1336,foms,fell off my seat
1337,fone,phone
1338,foo,fool
1339,foobar,fucked up beyond all recognition
1340,foocl,falls out of chair laughing
1341,fook,fuck
1342,for sheeze,for sure
1343,fos,full of shit
1344,foshizzle,for sure
1345,fosho,for sure
1346,foss,free open source software
1347,fotcl,fell off the chair laughing
1348,fotm,Flavour of the month
1349,fouc,fuck off you cunt 
1350,fov,Field of View
1351,foyb,fuck off you bitch
1352,fo`,for
1353,fp,first post
1354,fpmitap,federal pound me in the ass prison
1355,fpos,fucking piece of shit
1356,fps,First Person Shooter
1357,frag,kill
1358,fragged,killed
1359,fren,friend
1360,frens,friends
1361,frgt,forgot
1362,fri.,Friday
1363,friggin,freaking
1364,frk,freak
1365,frm,from
1366,frnd,friend
1367,frnds,friends
1368,fs,For Sure
1369,fse,Funniest shit Ever
1370,fsho,for sure
1371,fsm,flying spaghetti monster
1372,fsob,fucking son of a bitch
1373,fsod,frosn screen of death
1374,fsr,for some reason
1375,fst,fast
1376,ft,fuck THAT
1377,ft2t,From time to time
1378,fta,From The Article
1379,ftb,fuck That bitch
1380,ftbfs,Failed to build from source
1381,ftf,face to face
1382,ftfa,From The fucking Article
1383,ftfw,For the fucking win!
1384,ftfy,Fixed that for you
1385,ftio,fun time is over
1386,ftk,For the Kill
1387,ftl,For The Lose
1388,ftlog,for the love of god
1389,ftlt,For the last time
1390,ftmfw,for the mother fucking win
1391,ftmp,For the most part
1392,ftp,file transfer protocol
1393,ftr,For The Record
1394,fts,fuck that shit
1395,fttp,for the time being
1396,ftw,For the win!
1397,fu,fuck you
1398,fu2,fuck you too
1399,fua,fuck you all
1400,fuah,fuck you ass hole
1401,fub,fuck you bitch
1402,fubah,fucked up beyond all hope
1403,fubalm,fucked up beyond all local maintenance
1404,fubar,fucked up beyond all recognition
1405,fubb,fucked up beyond belief
1406,fubh,fucked up beyond hope
1407,fubohic,fuck you Bend over here it comes
1408,fubr,fucked Up Beyond Recognition
1409,fucken,fucking
1410,fucktard,fucking retard
1411,fuctard,fucking retard
1412,fud,fear uncertainty and doubt
1413,fudh,fuck you dick head
1414,fudie,fuck you and die
1415,fugly,fucking ugly
1416,fuh-q,fuck you
1417,fuhget,forget
1418,fuk,fuck
1419,fukin,fucking
1420,fukk,fuck
1421,fukkin,fucking
1422,fukn,fucking
1423,fukr,fucker
1424,fulla,Full of
1425,fumfer,fuck you mother fucker
1426,funee,funny
1427,funner,more fun
1428,funy,funny
1429,fuq,fuck you
1430,fus,fuck yourself
1431,fut,fuck You Too
1432,fuu,fuck you up
1433,fux,fuck
1434,fuxing,fucking
1435,fuxor,fucker
1436,fuxored,fucked
1437,fvck,fuck
1438,fwb,Friends with Benefits
1439,fwd,forward
1440,fwiw,for what it's worth
1441,fwm,Fine With Me
1442,fwob,friends with occasional benefits
1443,fwp,first world problems
1444,fxe,foxy
1445,fxp,file exchange protocol
1446,fy,fuck you
1447,fya,for your attention
1448,fyad,fuck you and die
1449,fyah,fuck you asshole
1450,fyb,fuck you bitch
1451,fyc,fuck your couch
1452,fye,For Your Entertainment
1453,fyeo,For your eyes only
1454,fyf,fuck your face
1455,fyfi,For Your fucking Information
1456,fyi,for your information
1457,fyk,for your knowledge
1458,fyl,For your Love
1459,fym,fuck your mom
1460,fyp,fixed your post
1461,fyrb,fuck you right back
1462,fytd,fuck you to death
1464,g'nite,good night
1465,g/f,girlfriend
1466,g/g,got to go
1467,g0,go
1468,g00g13,Google
1469,g1,good one
1470,g2,go to
1471,g2/-/,go to hell
1472,g2bg,got to be going
1473,g2bl8,going to be late
1474,g2cu,glad to see you
1475,g2e,got to eat
1476,g2g,got to go
1477,g2g2tb,got to go to the bathroom
1478,g2g2w,got to go to work
1479,g2g4aw,got to go for a while
1480,g2gb,got to go bye
1481,g2gb2wn,got to go back to work now
1482,g2ge,got to go eat
1483,g2gn,got to go now
1484,g2gp,got to go pee
1485,g2gpc,got 2 go parents coming
1486,g2gpp,got to go pee pee
1487,g2gs,got to go sorry
1488,g2h,go to hell
1489,g2hb,go to hell bitch
1490,g2k,good to know
1491,g2p,got to pee
1492,g2t2s,got to talk to someone
1493,g3y,gay
1494,g4u,good for you
1495,g4y,good for you
1496,g8,gate
1497,g9,good night
1498,[email protected],gay
1499,ga,go ahead
1500,gaalma,go away and leave me alone
1501,gaf,good as fuck
1502,gafi,get away from it
1503,gafl,get a fucking life
1504,gafm,Get away from me
1505,gagf,go and get fucked
1506,gagp,go and get pissed
1507,gah,gay ass homo
1508,gai,gay
1509,gaj,get a job
1510,gal,get a life
1511,gamez,illegally obtained games
1512,gangsta,gangster
1513,gank,kill
1514,gaoep,generally accepted office etiquette principles
1515,gaw,grandparents are watching
1516,gawd,god
1517,gb,Go back
1518,gb2,go back to
1519,gba,game boy advance
1520,gbioua,Go blow it out your ass
1521,gbnf,Gone but not forgotten 
1522,gbtw,go back to work
1523,gbu,god bless you
1524,gby,good bye
1525,gcad,get cancer and die
1526,gcf,Google Click Fraud
1527,gd,good
1528,gd&r,grins ducks and runs
1529,gd4u,Good For You
1530,gday,Good Day
1531,gdby,good bye
1532,gded,grounded
1533,gdgd,good good
1534,gdi,God damn it
1535,gdiaf,go die in a fire
1536,gdih,Go die in hell
1537,gdilf,Grandad I'd Like To fuck
1538,gdmfpos,god damn mother fucking piece of shit
1539,gdr,grinning ducking running
1540,gemo,gay emo
1541,getcha,get you
1542,geto,ghetto
1543,gewd,good
1544,gey,gay
1545,gf,girlfriend
1546,gfad,go fuck a duck
1547,gfadh,go fuck a dead horse
1548,gfak,go fly a kite
1549,gfam,Go fuck A Monkey
1550,gfar2cu,go find a rock to crawl under
1551,gfas,go fuck a sheep
1552,gfd,god fucking damnit
1553,gfe,Girl Friend experience
1554,gfe2e,grinning from ear to ear
1555,gfg,good fucking game
1556,gfgi,go fucking google it
1557,gfi,good fucking idea
1558,gfj,good fucking job
1559,gfl,grounded for life
1560,gfo,go fuck off
1561,gfu,go fuck yourself
1562,gfurs,go fuck yourself
1563,gfus,go fuck yourself
1564,gfx,graphics
1565,gfy,good for you
1566,gfyd,go fuck your dad
1567,gfym,go fuck your mom
1568,gfys,go fuck yourself
1569,gg,good game
1570,gga,good game all
1571,ggal,go get a life
1572,ggf,go get fucked
1573,ggg,go go go
1574,ggi,go google it
1575,ggnore,good game no rematch
1576,ggp,gotta go pee
1577,ggpaw,gotta go parents are watching
1578,ggs,good games
1579,ggwp,Good Game Well-Played
1580,gh,good half
1581,ghei,Gay
1582,ghey,gay
1583,gigig,get it got it good
1584,gigo,garbage in garbage out
1585,gilf,Grandma I'd like to fuck
1586,gim,google instant messanger
1587,gimme,give me
1588,gimmie,give me
1589,gir,google it retard
1590,gis,Google Image Search
1591,gitar,guitar
1592,giv,give
1593,giyf,google is your friend
1594,gj,good job
1595,gjial,go jump in a lake
1596,gjp,good job partner
1597,gjsu,god just shut up
1598,gjt,good job team
1599,gky,Go kill yourself
1600,gkys,Go kill yourself
1601,gl,good luck
1602,gl hf,good luck have fun
1603,gl&hf,good luck and have fun
1604,gla,good luck all
1605,glbt,Gay lesbian bisexual transgenderd
1606,glf,group looking for
1607,glhf,good luck have fun
1608,glln,Got Laid Last Night
1609,glnhf,Good Luck and Have Fun
1610,glty,Good luck this year
1611,glu,girl like us
1612,glu2,good luck to you too
1613,glux,good luck
1614,glwt,good luck with that
1615,gm,good morning
1616,gma,grandma
1617,gmab,give me a break
1618,gmabj,give me a blowjob
1619,gmafb,give me a fucking break
1620,gmao,Giggling my ass off
1621,gmfao,Giggling My fucking ass Off
1622,gmilf,grandmother i'd like to fuck
1623,gmod,Global Moderator
1624,gmta,great minds think alike
1625,gmtyt,good morning to you too
1626,gmv,Got my vote
1627,gmybs,give me your best shot
1628,gn,good night
1629,gn8,good night
1630,gnasd,good night and sweet dreams
1631,gndn,Goes nowhere does nothing
1632,gnfpwlbn,good news for people who love bad news
1633,gng,going
1634,gng2,going to
1635,gngbng,gang bang
1636,gnight,good night
1637,gnite,good night
1638,gnn,get naked now
1639,gno,going to do
1640,gnoc,get naked on cam
1641,gnos,get naked on screen
1642,gnr,Guns n' roses
1643,gnrn,get naked right now
1644,gnst,goodnight sleep tight
1645,gnstdltbbb,good night sleep tight don't let the bed bugs bite
1646,goc,get on camera
1647,goi,get over it 
1648,goia,get over it already
1649,goin,going
1650,gok,God Only Knows
1651,gokid,got observers - keep it decent
1652,gokw,God Only Knows Why
1653,gol,giggle out loud
1654,gomb,get off my back
1655,goml,get out of my life
1656,gona,Gonna
1657,gonna,going to
1658,good9,goodnite
1659,gooh,get out of here!
1660,goomh,get out of my head
1661,gork,God only really knows
1662,gosad,go suck a dick
1663,gotc,get on the computer
1664,gotcha,got you
1665,gotta,got to
1666,gow,gears of war
1667,goya,Get Off Your ass
1668,goyhh,get off your high horse
1669,gp,good point
1670,gpb,gotta pee bad
1671,gpwm,good point well made
1672,gpytfaht,gladly pay you tuesday for a hamburger today
1673,gr8,great
1674,gr8t,great
1675,grats,congratulations
1676,gratz,congratulations
1677,grfx,graphics
1678,grillz,metal teeth
1679,grl,girl
1680,grmbl,grumble
1681,grog,beer
1682,grrl,Girl
1683,grtg,Getting ready to go
1684,grvy,groovy
1685,gsad,go suck a dick
1686,gsave,global struggle against violent extremists
1687,gsd,getting shit done
1688,gsfg,Go search fucking google
1689,gsi,go suck it
1690,gsoh,Good Sense of Humor
1691,gsp,get some pussy
1692,gsta,Gangster
1693,gt,get
1694,gta,Grand Theft Auto
1695,gtas,go take a shit
1696,gtb,Go To Bed
1697,gtf,get the fuck
1698,gtfa,Go The fuck Away
1699,gtfbtw,get the fuck back to work
1700,gtfh,go to fucking hell
1701,gtfo,get the fuck out
1702,gtfoi,get the fuck over it
1703,gtfon,Get the fuck out noob
1704,gtfooh,get the fuck out of here
1705,gtfoomf,get the fuck out of my face
1706,gtfu,grow the fuck up
1707,gtfuotb,get the fuck up out this bitch
1708,gtg,got to go
1709,gtgb,got to go bye
1710,gtgbb,got to go bye bye
1711,gtgfn,got to go for now
1712,gtglyb,got to go love you bye
1713,gtgmmiloms,got to go my mum is looking over my shoulder
1714,gtgn,got to go now
1715,gtgp,got to go pee
1716,gtgpp,got to go pee pee
1717,gtgtb,got to go to bed
1718,gtgtpirio,got to go the price is right is on
1719,gtgtwn,Got to go to work now
1720,gth,go to hell
1721,gtha,go the hell away
1722,gthb,go to hell bitch
1723,gthmf,go to hell mothafucka
1724,gtho,get the hell out
1725,gthu,grow the heck up
1726,gthyfah,go to hell you fucking asshole
1727,gtk,good to know
1728,gtm,giggling to myself
1729,gtn,getting
1730,gtp,Got to pee
1731,gtr,Got to run
1732,gts,going to school
1733,gtsy,good to see you
1734,gttp,get to the point
1735,gtty,good talking to you
1736,gu,grow up
1737,gu2i,get used to it 
1738,gud,good
1739,gudd,good
1740,gui,graphical user interface
1741,gurl,girl
1742,gurlz,girls
1743,guru,expert
1744,gw,good work
1745,gwijd,guess what i just did
1746,gwm,gay white male
1747,gwork,good work
1748,gwrk,good work
1749,gws,get well soon
1750,gwytose,go waste your time on someone else
1751,gy,gay
1752,gyal,girl
1753,gypo,Get Your Penis Out
1755,h*r,homestar runner
1756,h+k,hugs and kisses
1757,h.o,hold on
1758,h/e,However
1759,h/mo,homo
1760,h/o,hold on
1761,h/u,hold up
1762,h/w,homework
1763,h2,Halo 2
1764,h2gtb,have to go to the bathroom
1765,h2o,water
1766,h2sys,hope to see you soon
1767,h3y,hey
1768,h4kz0r5,hackers
1769,h4x,Hacks
1770,h4x0r,hacker
1771,h4xor,hacker
1772,h4xr,hacker
1773,h4xrz,hackers
1774,h4xx0rz,hacker
1775,h4xxor,hacker
1776,h8,hate
1777,h80r,hater
1778,h82sit,hate to say it
1779,h83r,hater
1780,h8ed,hated
1781,h8er,hater
1782,h8r,hater
1783,h8red,Hatred
1784,h8s,hates
1785,h8t,hate
1786,h8t0r,hater
1787,h8t3r,hater
1788,h8te,hate
1789,h8tr,hater
1790,h8u,I Hate You
1791,h9,Husband in Room
1793,habt,how about this
1794,hafta,have to
1795,hagd,have a good day
1796,hagl,have a great life
1797,hagn,have a good night
1798,hago,have a good one
1799,hags,have a great summer
1800,hai,hello
1801,hait,hate
1802,hak,here's a kiss
1803,hakas,have a kick ass summer
1804,hammrd,hammered
1805,han,how about now
1806,hau,How Are You
1807,hav,have
1808,havnt,haven't
1809,hawf,Husband and Wife forever
1810,hawt,hot
1811,hawtie,hottie
1812,hax,Hacks
1813,hax0r,hacker
1814,hax0red,hacked
1815,hax0rz,Hackers
1816,haxer,Hacker
1817,haxor,hacker
1818,haxoring,hacking
1819,haxors,hackers
1820,haxorz,hackers
1821,haxxor,hacker
1822,haxxzor,Hacker
1823,haxz0r,Hacker
1824,haxzor,hacker
1825,hayd,how are you doing
1826,hb,hurry back
1827,hb4b,hoes before bros
1828,hbd,happy birthday
1829,hbic,head bitch in charge
1830,hbii,how big is it
1831,hbu,how about you
1832,hbuf,how about your family
1833,hby,how about you
1834,hc,how come
1835,hcbt1,he could be the one
1836,hcib,how can it be
1837,hcihy,how can I help you
1838,hdop,Help Delete Online Predators
1839,hdu,how dare you
1840,hdydi,How do you do it
1841,hdydt,how did you do that
1842,heh,haha
1843,hella,very
1844,heya,hey
1845,heyt,hate
1846,heyy,hello
1847,heyya,hello
1848,hf,have fun
1849,hfn,Hell fucking no
1850,hfs,holy fucking shit!
1851,hfsbm,holy fucking shit batman
1852,hfwt,have fun with that
1853,hg,HockeyGod
1854,hght,height
1855,hhiad,holy hole in a doughnut
1856,hhiadb,Holy Hole in a Donut Batman
1857,hhok,Ha Ha Only Kidding
1858,hhyb,how have you been
1859,hi2u,hello
1860,hi2u2,hello to you too
1861,hiet,height
1862,hiik,Hell If I Know
1863,hijack,start an off topic discussion
1864,hith,how in the hell
1865,hiw,husband is watching
1866,hiya,hello 
1867,hiybbprqag,copying somebody else's search results
1868,hj,hand job
1869,hl,Half-Life
1870,hl2,Half-Life 2
1871,hla,Hot lesbian action
1872,hlb,horny little bastard
1873,hld,hold
1874,hldn,hold on
1875,hldon,hold on
1876,hll,Hell
1877,hlm,he loves me
1878,hlo,hello
1879,hlp,help
1880,hly,holy
1881,hlysht,Holy shit
1882,hmb,hold me back
1883,hmewrk,homework
1884,hmfic,head mother fucker in charge
1885,hml,hate my life
1886,hmoj,holy mother of jesus
1887,hmp,help me please
1888,hmu,Hit Me Up
1889,hmul,Hit me up later
1890,hmus,Hit me up sometime
1891,hmw,homework
1892,hmwk,homework
1893,hmwrk,Homework
1894,hng,horny net geek
1895,hngry,hungry
1896,hnic,head nigger in charge
1897,ho,hold on
1898,hoas,Hang on a second
1899,hoay,how old are you
1900,hodl,hold
1901,hoh,head of household
1902,hom,home
1903,homey,Friend
1904,homie,good friend
1905,homo,homosexual
1906,hoopty,broke down automobile
1907,hott,hot
1908,howdey,hello
1909,howz,hows
1910,hpb,high ping bastard
1911,hpoa,Hot Piece of ass
1912,hppy,Happy
1913,hpy,happy
1914,hpybdy,happy birthday
1915,hr,hour
1916,hre,here
1917,hrny,horny
1918,hrs,hours
1919,hru,how are you
1920,hrud,how are you doing
1921,hs,headshot
1922,hsd,high school dropout
1923,hsik,how should i know
1924,hsr,homestar runner
1925,hss,horse shit and splinters
1926,hswm,Have Sex With me
1927,ht,Heard Through
1928,htc,hit the cell
1929,htf,how the fuck
1930,htfu,Hurry the fuck up
1931,htg,have to go
1932,hth,hope that helps
1933,hthu,Hurry the hell up
1934,htr,hater
1935,hu,Hey you
1936,hubby,husband
1937,hud,Heads Up Display
1938,huggle,hug and cuddle
1939,hugz,hugs
1940,hun,honey
1941,hv,have
1942,hve,have
1943,hvnt,haven't
1944,hw,homework
1945,hw/hw,help me with homework 
1946,hwg,here we go
1947,hwga,here we go again
1948,hwik,how would i know
1949,hwk,homework
1950,hwmbo,he who must be obeyed
1951,hwmnbn,he who must not be named
1952,hwms,hot wild monkey sex
1953,hwu,hey what's up
1954,hwz,how is
1955,hxc,hardcore
1956,hy,hell yeah
1957,hyb,how you been
1958,hyg,here you go
1959,hyk,how you know
1961,j/a,Just Asking
1962,j/c,just curious
1963,j/j,just joking
1964,j/k,just kidding
1965,j/o,jackoff
1966,j/p,just playing
1967,j/s,just saying
1968,j/t,just talking
1969,j/w,just wondering
1970,j00,you
1971,j00r,your
1972,j2bs,just to be sure
1973,j2c,just too cute
1974,j2f,just too funny
1975,j2luk,just to let you know
1976,j2lyk,just to let you know
1977,j4f,just for fun
1978,j4g,just for grins
1979,j4l,just for laughs
1980,j4u,just for you
1981,jalaudlm,just as long as you don't leave me
1982,jas,just a second
1983,jb,jailbait
1984,jbu,just between us
1985,jc,just curious
1986,jcam,just checking away message
1987,jcath,Just chilling at the house
1988,jdfi,Just fucking do it
1989,jebus,Jesus
1990,jeomk,Just ejaculated on my keyboard
1991,jf,just fooling
1992,jfc,Jesus fucking Christ
1993,jfdi,Just fucking Do It!
1994,jff,just for fun
1995,jfg,just for giggles
1996,jfgi,just fucking google it
1997,jfi,just forget it
1998,jfj,jump for joy
1999,jfk,Just fucking kidding
2000,jfl,just for laughs
2001,jflts,just felt like typing something
2002,jfn,just for now
2003,jfo,just fuck off
2004,jfr,Just for reference
2005,jftr,just for the record
2006,jfu,just for you
2007,jfwy,just fucking with you
2008,jg2h,just go to hell
2009,jgiyn,Just google it you noob
2010,jgtfooh,just get the fuck out of here
2011,jh,Just hanging
2012,jhm,just hold me
2013,jho,just hanging out
2014,jic,just in case
2015,jit,just in time
2016,jizz,semen
2017,jj,just joking
2018,jj/k,just joking
2019,jja,just joking around
2020,jk,just kidding
2021,jka,just kidding around
2022,jking,joking
2023,jkl,just kidding loser
2024,jklol,Just Kidding Laughing Out Loud
2025,jkn,joking
2026,jks,jokes
2027,jkz,jokes
2028,jlma,just leave me alone
2029,jlt,just like that
2030,jm,Just Messing
2031,jma,just messing around
2032,jml,just my luck
2033,jmo,just my opinion
2034,jms,just making sure
2035,jom,just one minuite
2036,joo,you
2037,jooc,just out of curiosity
2038,jooce,Juice
2039,joor,your
2040,jp,just playing
2041,js,just saying
2042,jsa,just stop already
2043,jsing,just saying
2044,jst,just
2045,jsuk,just so you know
2046,jsun,Just so you know
2047,jsut,just
2048,jsyk,Just so you know
2049,jsyn,just so you know
2050,jtay,just thinking about you
2051,jtbs,Just To Be Sure
2052,jtc,Join the club
2053,jtfo,joke the fuck out
2054,jtluk,just to let you know
2055,jtlyk,just to let you know
2056,jtoi,just thought of it
2057,jtol,just thinking out loud
2058,jttsiowctw,just testing to see if other websites copy this word
2059,jtty,just to tell you
2060,jtumltk,just thought you might like to know
2061,jtwii,just the way it is.
2062,jtwiw,just the way it was.
2063,jtyltk,just thought you'd like to know
2064,jtysk,just thought you should know
2065,jumping the couch,acting strange
2066,jus,just
2067,juss,just
2068,juz,just
2069,juzt,just
2070,jw,just wondering
2071,jw2k,just wanted to know
2072,jwas,just wait a second
2073,jwing,just wondering
2074,jwtlyk,Just wanted to let you know
2075,jyfihp,jam your finger in her pussy
2076,k3wl,cool
2077,ka,Kick ass
2078,kafn,kill all fucking noobs
2079,kaw,kick ass work
2080,kay,okay
2081,kb,KiloBite
2082,kcco,keep calm chive on
2083,kek,laughing out loud
2084,kewel,cool
2085,kewl,cool
2086,kfc,kentucky fried chicken
2087,khitbash,kick her in the box and shove her
2088,khuf,know how you feel
2089,kia,Killed In Action
2090,kib,okay im back
2091,kic,keep it clean
2092,kicks,sneakers
2093,kig,keep it going
2094,kiled,killed
2095,kinda,kind of
2096,kir,kid in room
2097,kis,keep it simple
2098,kisa,knight in shining armor
2099,kit,keep in touch
2100,kitfo,knock it the fuck off
2101,kitteh,kitten
2102,kiu,Keep it up
2103,kiwf,Kill It With Fire
2104,kk,ok
2105,kkk,ku klux klan
2106,kkthnxbye,okay thanks bye
2107,kky,kinky
2108,kl,cool
2109,km,kiss me
2110,kma,kiss my ass
2111,kmag,kiss my ass goodbye
2112,kmao,kick my ass off
2113,kmb,kiss my butt
2114,kmfa,kiss my fucking ass
2115,kmhba,kiss my hairy big ass
2116,kml,Killing Myself Laughing
2117,kmn,kill me now
2118,kmp,kill me please
2119,kmsl,killing myself laughing
2120,kmswl,killing myself with laughter
2121,knackered,drunk
2122,knewb,new player
2123,knn,fuck your mother
2124,kno,know
2125,knw,know
2126,ko,knock out
2127,kol,kiss on lips
2128,koo,cool
2129,kool,cool
2130,kos,kid over shoulder
2131,kotc,kiss on the cheek
2132,kotd,kicks of the day
2133,kotl,kiss on the lips
2134,kotor,Knights of the old republic
2135,kots,keep on talking shit
2136,kpc,keeping parents clueless
2137,ks,kill steal
2138,kss,kiss
2139,kssd,kissed
2140,kt,keep talking
2141,ktc,kill the cat
2142,ktfo,knocked the fuck out
2143,kthanxbi,Okay thanks bye
2144,kthnxbai,Okay thanks bye
2145,kthnxbye,Okay thanks bye
2146,kthx,ok thank you goodbye
2147,kthxbai,ok thanks bye!
2148,kthxbi,ok thank you goodbye
2149,kthxbye,ok thank you goodbye
2150,kthxgb,ok thanks goodbye
2151,kthxmn,Ok Thanks Man
2152,kthz,ok thanks
2153,ktnx,Okay and Thanks
2154,kuhl,cool
2155,kul,cool
2156,kute,cute
2157,kutgw,Keep Up The good Work
2158,kuwl,cool
2159,kwik,quick
2160,kwim,Know What I Mean
2161,kwis,Know what I'm saying?
2162,kwit,quit
2163,kwiz,quiz
2164,kwl,cool
2165,kwtsds,Kiss where the sun don't shine
2166,kyag,Kiss Your ass Goodbye
2167,kyfag,kiss your fucking ass goodbye
2168,kyfc,keep your fingers crossed
2169,kyko,keep your knickers on
2170,kyms,keep your mouth shut
2171,kys,kill yourself
2173,l2,learn to
2174,l2m,listening to music
2175,l2ms,laughing to myself
2176,l2p,learn to play
2177,l2r,Learn to read
2178,l337,elite
2179,l33t,elite
2180,l4m3rz,lamers
2181,l8,late
2182,l84skool,late for school
2183,l8a,later
2184,l8er,later
2185,l8ers,Later
2186,l8r,see you later
2187,l8rs,laters
2188,l8rz,later
2189,l8s,later
2190,l8t,later
2191,l8ta,later
2192,l8ter,later
2193,l8tr,later
2195,laff,laugh
2196,lafs,love at first sight
2197,lak,love and kisses
2198,lal,laughing a little
2199,lalol,lots and lots of laughs
2200,lam,leave a message
2201,lamf,like a motherfucker
2202,lan,local area network
2203,lappy,Laptop
2204,larp,live action role-play
2205,lasb,Lame ass Stupid bitch
2206,lat,laugh at that
2207,lata,later
2208,lates,later
2209,latn,laugh at the newbs
2210,latr,Later
2211,latwttb,laughing all the way to the bank
2212,lau,laugh at you
2213,lawd,lord
2214,lawl,lauging out loud with a southern drawl
2215,lawl'd,laughed out loud
2216,lawled,laughed out loud
2217,lawls,laughing out loud with a southern drawl
2218,lawlz,laughing out loud with a southern drawl
2219,lazer,laser
2220,lazor,laser
2221,lbh,let's be honest
2222,lbnr,laughing but not really
2223,lbo,laughing butt off 
2224,lbr,little boy's room
2225,lbvs,laughing but very serious
2226,lcsnpc,low cost small notebook personal computer
2227,ldr,Long-distance relationship
2228,lee7,elite
2229,leet,elite
2230,legit,legitimate
2231,leik,like
2232,leme,let me
2233,lemme,let me
2234,lesbo,lesbian
2235,less than 3,love
2236,less than three,love
2237,lez,Lesbian
2238,lezbean,lesbian
2239,lezbo,lesbian
2240,lezzzie,lesbian
2241,lf,looking for
2242,lf1m,Looking for one more
2243,lf2m,looking for 2 more
2244,lfg,Looking for group
2245,lfl,let's fuck later
2246,lfm,looking for mate
2247,lfnar,laughing for no aparent reason
2248,lfp,looking for pussy
2249,lfr,Laughing for real
2250,lgb,lesbian/gay/bisexual
2251,lgbnaf,lets get butt naked and fuck
2252,lgbtq,Lesbien gay bisexual transgender and queer
2253,lgds,let's go do something
2254,lgf,little green footballs
2255,lggd,let's go get drunk
2256,lgn,link goes nowhere
2257,lgo,life goes on
2258,lgot,let's go out tonight
2259,lgr,little girls room
